year,donor_code,donor_iso3_code,donor_name,agency_code,agency_name,crs_id,project_number,initial_report,recipient_code,recipient_iso3_code,recipient_name,region_code,region_name,income_group_code,income_group_name,flow_code,flow_name,bilateral_multilateral,category,finance_type,aid_type,usd_commitment,usd_disbursement,usd_received,usd_commitment_deflated,usd_disbursement_deflated,usd_received_deflated,usd_adjustment,usd_adjustment_deflated,usd_amount_untied,usd_amount_partial_tied,usd_amount_tied,usd_amount_untied_deflated,usd_amount_partial_tied_deflated,usd_amount_tied_deflated,usd_irtc,usd_expert_commitment,usd_expert_extended,usd_export_credit,currency_code,commitment_national,disbursement_national,grant_equivalent,usd_grant_equivalent,short_description,project_title,purpose_code,purpose_name,sector_code,sector_name,channel_code,channel_name,channel_reported_name,channel_parent_category,geography,ldc_flag,ldc_flag_name,expected_start_date,completion_date,long_description,sdg_focus,keywords,gender,environment,pdgg,trade,rmnch,drr,nutrition,disability,ftc,pba,investment_project,associated_finance,biodiversity,climate_mitigation,climate_adaptation,desertification,commitment_date,type_repayment,number_repayment,interest_1,interest_2,repay_date_1,repay_date_2,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,capital_expenditure,psi_flag,psi_add_type,psi_add_assess,psi_add_dev_obj
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000021d,1580A,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.003075,,,0.002982,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT BERAT,Construction of social housing at Berat,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at Berat,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000025a,1580E,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.005313,,,0.005153,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  KAVAJE,Construction of social housing at  Kavaje,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Kavaje,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000025b,1580E,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.022469,,,0.021794,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  KAVAJE,Construction of social housing at  Kavaje,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Kavaje,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000025c,1580E,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.022469,,,0.021794,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  KAVAJE,Construction of social housing at  Kavaje,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Kavaje,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000025d,1580E,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.015965,,,0.015485,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  KAVAJE,Construction of social housing at  Kavaje,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Kavaje,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000025e,1580E,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.008751,,,0.008488,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  KAVAJE,Construction of social housing at  Kavaje,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Kavaje,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000026a,1580F,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.075686,,,0.073412,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  KORCE,Construction of social housing at  Korce,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Korce,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000030b,1593,8,63,SRB,Serbia,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.236518,,,0.229412,,,,,,,,,,,,,918,,,,,REHABILITATION OF HOUSING AFTER THE 2006 LANDSLIDES,Rehabilitation of housing after the 2006 landslides,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,12000,Recipient Government,,12000,,,,,,Rehabilitation of housing after the 2006 landslides,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000058a,1789,8,64,BIH,Bosnia and Herzegovina,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.461921,,,0.448041,,,,,,,,,,,,,918,,,,,CLOSING OF COLLECTIVE CENTERS AND ALTERNATIVE ACCOMODATIONS THROUGH PROVISION OF PUBLIC HOUSING SOLUTIONS,Closing of collective centers and alternative accomodations through provision of public housing solutions,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Providing part-funding for the closure of collective centres and alternative accommodations through provision of adapted public housing solutions to at least 7 200 internally-displaced persons throughout the country.,11.1,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000058b,1789,3,64,BIH,Bosnia and Herzegovina,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,1.810067,,,1.755681,,,,,,,,,,,,,,918,,1.530593,,,CLOSING OF COLLECTIVE CENTERS AND ALTERNATIVE ACCOMODATIONS THROUGH PROVISION OF PUBLIC HOUSING SOLUTIONS,Closing of collective centers and alternative accomodations through provision of public housing solutions,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Providing part-funding for the closure of collective centres and alternative accommodations through provision of adapted public housing solutions to at least 7 200 internally-displaced persons throughout the country.,11.1,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000058c,1789,3,64,BIH,Bosnia and Herzegovina,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,18.267712,,,17.718825,,,,,,,,,,,,,,918,,15.447177,,,CLOSING OF COLLECTIVE CENTERS AND ALTERNATIVE ACCOMODATIONS THROUGH PROVISION OF PUBLIC HOUSING SOLUTIONS,Closing of collective centers and alternative accomodations through provision of public housing solutions,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Providing part-funding for the closure of collective centres and alternative accommodations through provision of adapted public housing solutions to at least 7 200 internally-displaced persons throughout the country.,11.1,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2022000022c,1580B,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.118259,,,0.114706,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  DURRES,Construction of social housing at  Durres,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Durres,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2023000023a,1580C,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.080061,,,0.077656,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  ELBASAN,Construction of social housing at  Elbasan,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Elbasan,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000026b,1580F,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.01199,,,0.01163,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  KORCE,Construction of social housing at  Korce,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Korce,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000026c,1580F,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.040233,,,0.039025,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  KORCE,Construction of social housing at  Korce,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Korce,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000026d,1580F,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.013009,,,0.012618,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  KORCE,Construction of social housing at  Korce,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Korce,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000027a,1580G,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.001183,,,0.001147,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  PESHKOPI,Construction of social housing at  Peshkopi,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Peshkopi,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000027b,1580G,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.013482,,,0.013076,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  PESHKOPI,Construction of social housing at  Peshkopi,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Peshkopi,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000027c,1580G,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.0272,,,0.026382,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  PESHKOPI,Construction of social housing at  Peshkopi,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Peshkopi,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000027d,1580G,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.003193,,,0.003097,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  PESHKOPI,Construction of social housing at  Peshkopi,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Peshkopi,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000028a,1580H,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.202495,,,0.196411,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  TIRANA,Construction of social housing at  Tirana,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Tirana,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000028b,1580H,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.027755,,,0.026921,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  TIRANA,Construction of social housing at  Tirana,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Tirana,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000028c,1580H,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.354778,,,0.344118,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  TIRANA,Construction of social housing at  Tirana,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Tirana,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000028d,1580H,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.118259,,,0.114706,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  TIRANA,Construction of social housing at  Tirana,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Tirana,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000028e,1580H,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.047304,,,0.045882,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  TIRANA,Construction of social housing at  Tirana,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Tirana,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000030a,1593,8,63,SRB,Serbia,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.697729,,,0.676765,,,,,,,,,,,,,918,,,,,REHABILITATION OF HOUSING AFTER THE 2006 LANDSLIDES,Rehabilitation of housing after the 2006 landslides,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,12000,Recipient Government,,12000,,,,,,Rehabilitation of housing after the 2006 landslides,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000036a,1674,8,66,MKD,North Macedonia,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.08834,,,0.085685,,,,,,,,,,,,,918,,,,,"CONSTRUCTION OF 1,000 HOUSING UNITS FOR LOW INCOME PERSONS","Construction of 1,000 housing units for low income persons",16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,"Construction of 1,000 housing units for low income persons",11.1,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000036b,1674,8,66,MKD,North Macedonia,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.165563,,,0.160588,,,,,,,,,,,,,918,,,,,"CONSTRUCTION OF 1,000 HOUSING UNITS FOR LOW INCOME PERSONS","Construction of 1,000 housing units for low income persons",16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,"Construction of 1,000 housing units for low income persons",11.1,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000036c,1674,8,66,MKD,North Macedonia,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.236518,,,0.229412,,,,,,,,,,,,,918,,,,,"CONSTRUCTION OF 1,000 HOUSING UNITS FOR LOW INCOME PERSONS","Construction of 1,000 housing units for low income persons",16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,"Construction of 1,000 housing units for low income persons",11.1,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000036d,1674,8,66,MKD,North Macedonia,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.295648,,,0.286765,,,,,,,,,,,,,918,,,,,"CONSTRUCTION OF 1,000 HOUSING UNITS FOR LOW INCOME PERSONS","Construction of 1,000 housing units for low income persons",16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,"Construction of 1,000 housing units for low income persons",11.1,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000036e,1674,8,66,MKD,North Macedonia,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.295648,,,0.286765,,,,,,,,,,,,,918,,,,,"CONSTRUCTION OF 1,000 HOUSING UNITS FOR LOW INCOME PERSONS","Construction of 1,000 housing units for low income persons",16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,"Construction of 1,000 housing units for low income persons",11.1,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000052a,1756,8,93,MDA,Moldova,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.101156,,,0.098116,,,,,,,,,,,,,918,,,,,PROVIDE SUSTAINABLE SOCIAL HOUSING TO VULNERABLE AND LOW-INCOME POPULATION,Provide sustainable social housing to vulnerable and low-income population,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,"Provision of sustainable social housing to vulnerable and low-income population, including young families with children, in the Republic of Moldova.",11.1,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
